crop_path,species_name,source_tile,orthomosaic_id,bbox_coco,annotation_id,remapped_label,split
BRPEA/BRPEA_009818.png,BRPEA,OM_010/tiles/OM_010_02000_04500.png,OM_010,"[182.0, 229.0, 155.0, 60.0]",9818,BRPEA,train
BRPEA/BRPEA_011866.png,BRPEA,OM_013/tiles/OM_013_02000_09000.png,OM_013,"[98.0, 458.0, 154.0, 42.0]",11866,BRPEA,train
BRPEA/BRPEA_003906.png,BRPEA,OM_004/tiles/OM_004_05500_07500.png,OM_004,"[387.0, 103.0, 92.0, 75.0]",3906,BRPEA,train
BRPEA/BRPEA_011748.png,BRPEA,OM_013/tiles/OM_013_04500_06500.png,OM_013,"[300.0, 367.0, 116.0, 64.0]",11748,BRPEA,train
BRPEA/BRPEA_007332.png,BRPEA,OM_008/tiles/OM_008_00000_02500.png,OM_008,"[479.0, 109.0, 21.0, 97.0]",7332,BRPEA,train
BRPEA/BRPEA_012435.png,BRPEA,OM_016/tiles/OM_016_06500_02000.png,OM_016,"[248.0, 244.0, 65.0, 190.0]",12435,BRPEA,train
BRPEA/BRPEA_013189.png,BRPEA,OM_018/tiles/OM_018_03500_06000.png,OM_018,"[106.0, 244.0, 126.0, 60.0]",13189,BRPEA,train
BRPEA/BRPEA_003796.png,BRPEA,OM_004/tiles/OM_004_06000_02500.png,OM_004,"[0, 230.0, 120.0, 55.0]",3796,BRPEA,train
BRPEA/BRPEA_010457.png,BRPEA,OM_011/tiles/OM_011_06000_07000.png,OM_011,"[296.0, 438.0, 141.0, 62.0]",10457,BRPEA,train
BRPEA/BRPEA_012496.png,BRPEA,OM_016/tiles/OM_016_05500_03500.png,OM_016,"[457.0, 408.0, 43.0, 92.0]",12496,BRPEA,train
BRPEA/BRPEA_007187.png,BRPEA,OM_007/tiles/OM_007_04000_09000.png,OM_007,"[157.0, 116.0, 128.0, 86.0]",7187,BRPEA,train
BRPEA/BRPEA_010762.png,BRPEA,OM_012/tiles/OM_012_01000_01000.png,OM_012,"[0, 63.0, 8.0, 56.0]",10762,BRPEA,train
BRPEA/BRPEA_007329.png,BRPEA,OM_008/tiles/OM_008_00000_02500.png,OM_008,"[259.0, 207.0, 104.0, 109.0]",7329,BRPEA,train
BRPEA/BRPEA_010491.png,BRPEA,OM_011/tiles/OM_011_04000_07500.png,OM_011,"[0, 192.0, 139.0, 97.0]",10491,BRPEA,train
BRPEA/BRPEA_012648.png,BRPEA,OM_016/tiles/OM_016_05500_09500.png,OM_016,"[419.0, 12.0, 81.0, 106.0]",12648,BRPEA,train
BRPEA/BRPEA_012297.png,BRPEA,OM_015/tiles/OM_015_09000_07000.png,OM_015,"[155.0, 230.0, 75.0, 37.0]",12297,BRPEA,train
BRPEA/BRPEA_011099.png,BRPEA,OM_012/tiles/OM_012_06000_06500.png,OM_012,"[192.0, 433.0, 82.0, 67.0]",11099,BRPEA,train
BRPEA/BRPEA_012514.png,BRPEA,OM_016/tiles/OM_016_06000_04000.png,OM_016,"[0, 0, 3.0, 14.0]",12514,BRPEA,train
BRPEA/BRPEA_012406.png,BRPEA,OM_016/tiles/OM_016_04000_01500.png,OM_016,"[412.0, 299.0, 62.0, 121.0]",12406,BRPEA,train
BRPEA/BRPEA_016604.png,BRPEA,OM_020/tiles/OM_020_02500_09000.png,OM_020,"[223.0, 335.0, 61.0, 94.0]",16604,BRPEA,train
BRPEA/BRPEA_007182.png,BRPEA,OM_007/tiles/OM_007_03500_08500.png,OM_007,"[354.0, 389.0, 113.0, 58.0]",7182,BRPEA,train
BRPEA/BRPEA_011869.png,BRPEA,OM_013/tiles/OM_013_02000_09000.png,OM_013,"[131.0, 78.0, 106.0, 97.0]",11869,BRPEA,train
BRPEA/BRPEA_010580.png,BRPEA,OM_011/tiles/OM_011_04500_08000.png,OM_011,"[0, 22.0, 54.0, 89.0]",10580,BRPEA,train
BRPEA/BRPEA_010372.png,BRPEA,OM_011/tiles/OM_011_06000_06000.png,OM_011,"[21.0, 416.0, 94.0, 84.0]",10372,BRPEA,train
BRPEA/BRPEA_010492.png,BRPEA,OM_011/tiles/OM_011_04000_07500.png,OM_011,"[139.0, 47.0, 130.0, 81.0]",10492,BRPEA,train
