crop_path,species_name,source_tile,orthomosaic_id,bbox_coco,annotation_id,remapped_label,split
MTRNS/MTRNS_006422.png,MTRNS,OM_007/tiles/OM_007_02000_02500.png,OM_007,"[377.0, 0, 22.0, 20.0]",6422,CATEA_MTRNS,train
MTRNS/MTRNS_000158.png,MTRNS,OM_001/tiles/OM_001_09500_06000.png,OM_001,"[490.0, 84.0, 10.0, 45.0]",158,CATEA_MTRNS,train
MTRNS/MTRNS_003448.png,MTRNS,OM_003/tiles/OM_003_09500_02500.png,OM_003,"[490.0, 394.0, 10.0, 18.0]",3448,CATEA_MTRNS,train
CATEA/CATEA_001357.png,CATEA,OM_002/tiles/OM_002_02000_01000.png,OM_002,"[72.0, 322.0, 73.0, 73.0]",1357,CATEA_MTRNS,train
MTRNS/MTRNS_002915.png,MTRNS,OM_002/tiles/OM_002_09000_09500.png,OM_002,"[0, 486.0, 36.0, 14.0]",2915,CATEA_MTRNS,train
MTRNS/MTRNS_001305.png,MTRNS,OM_002/tiles/OM_002_07000_00000.png,OM_002,"[206.0, 0.0, 36.0, 18.0]",1305,CATEA_MTRNS,train
MTRNS/MTRNS_002006.png,MTRNS,OM_002/tiles/OM_002_09500_04500.png,OM_002,"[486.0, 371.0, 14.0, 26.0]",2006,CATEA_MTRNS,train
MTRNS/MTRNS_006328.png,MTRNS,OM_007/tiles/OM_007_00000_02500.png,OM_007,"[0.0, 181.0, 11.0, 25.0]",6328,CATEA_MTRNS,train
CATEA/CATEA_001379.png,CATEA,OM_002/tiles/OM_002_02000_01500.png,OM_002,"[57.0, 24.0, 81.0, 43.0]",1379,CATEA_MTRNS,train
MTRNS/MTRNS_014236.png,MTRNS,OM_020/tiles/OM_020_03000_00000.png,OM_020,"[459.0, 0.0, 25.0, 6.0]",14236,CATEA_MTRNS,train
MTRNS/MTRNS_017448.png,MTRNS,OM_021/tiles/OM_021_04000_09500.png,OM_021,"[80.0, 470.0, 25.0, 29.0]",17448,CATEA_MTRNS,train
MTRNS/MTRNS_003542.png,MTRNS,OM_003/tiles/OM_003_09500_03000.png,OM_003,"[491.0, 127.0, 9.0, 19.0]",3542,CATEA_MTRNS,train
MTRNS/MTRNS_008498.png,MTRNS,OM_008/tiles/OM_008_02500_09500.png,OM_008,"[266.0, 492.0, 49.0, 8.0]",8498,CATEA_MTRNS,train
MTRNS/MTRNS_009440.png,MTRNS,OM_009/tiles/OM_009_00000_03500.png,OM_009,"[471.0, 206.0, 29.0, 20.0]",9440,CATEA_MTRNS,train
MTRNS/MTRNS_006417.png,MTRNS,OM_007/tiles/OM_007_02000_02500.png,OM_007,"[78.0, 439.0, 36.0, 14.0]",6417,CATEA_MTRNS,train
MTRNS/MTRNS_013965.png,MTRNS,OM_019/tiles/OM_019_04500_09500.png,OM_019,"[437.0, 472.0, 32.0, 28.0]",13965,CATEA_MTRNS,train
MTRNS/MTRNS_002881.png,MTRNS,OM_002/tiles/OM_002_08500_09500.png,OM_002,"[1.0, 488.0, 74.0, 12.0]",2881,CATEA_MTRNS,train
MTRNS/MTRNS_001209.png,MTRNS,OM_001/tiles/OM_001_07500_09500.png,OM_001,"[33.0, 483.0, 25.0, 16.0]",1209,CATEA_MTRNS,train
MTRNS/MTRNS_000159.png,MTRNS,OM_001/tiles/OM_001_09500_06000.png,OM_001,"[485.0, 212.0, 14.0, 21.0]",159,CATEA_MTRNS,train
CATEA/CATEA_001358.png,CATEA,OM_002/tiles/OM_002_02000_01000.png,OM_002,"[310.0, 473.0, 89.0, 27.0]",1358,CATEA_MTRNS,train
MTRNS/MTRNS_003322.png,MTRNS,OM_003/tiles/OM_003_09500_02000.png,OM_003,"[244.0, 423.0, 34.0, 17.0]",3322,CATEA_MTRNS,train
MTRNS/MTRNS_003543.png,MTRNS,OM_003/tiles/OM_003_09500_03000.png,OM_003,"[493.0, 457.0, 7.0, 20.0]",3543,CATEA_MTRNS,train
MTRNS/MTRNS_005178.png,MTRNS,OM_005/tiles/OM_005_01000_04500.png,OM_005,"[87.0, 305.0, 15.0, 33.0]",5178,CATEA_MTRNS,train
MTRNS/MTRNS_008201.png,MTRNS,OM_008/tiles/OM_008_02500_08500.png,OM_008,"[229.0, 34.0, 36.0, 15.0]",8201,CATEA_MTRNS,train
MTRNS/MTRNS_014237.png,MTRNS,OM_020/tiles/OM_020_03000_00000.png,OM_020,"[410.0, 0.0, 41.0, 8.0]",14237,CATEA_MTRNS,train
MTRNS/MTRNS_001138.png,MTRNS,OM_001/tiles/OM_001_06500_09500.png,OM_001,"[392.0, 488.0, 70.0, 11.0]",1138,CATEA_MTRNS,train
MTRNS/MTRNS_009451.png,MTRNS,OM_009/tiles/OM_009_00500_03500.png,OM_009,"[0, 206.0, 4.0, 20.0]",9451,CATEA_MTRNS,train
MTRNS/MTRNS_001139.png,MTRNS,OM_001/tiles/OM_001_06500_09500.png,OM_001,"[15.0, 475.0, 25.0, 24.0]",1139,CATEA_MTRNS,train
MTRNS/MTRNS_002882.png,MTRNS,OM_002/tiles/OM_002_08500_09500.png,OM_002,"[112.0, 492.0, 42.0, 8.0]",2882,CATEA_MTRNS,train
MTRNS/MTRNS_015095.png,MTRNS,OM_020/tiles/OM_020_09500_00500.png,OM_020,"[482.0, 292.0, 18.0, 26.0]",15095,CATEA_MTRNS,train
MTRNS/MTRNS_003574.png,MTRNS,OM_003/tiles/OM_003_09500_03500.png,OM_003,"[486.0, 115.0, 14.0, 23.0]",3574,CATEA_MTRNS,train
MTRNS/MTRNS_008476.png,MTRNS,OM_008/tiles/OM_008_02500_09500.png,OM_008,"[89.0, 488.0, 41.0, 11.0]",8476,CATEA_MTRNS,train
MTRNS/MTRNS_008583.png,MTRNS,OM_009/tiles/OM_009_00000_00000.png,OM_009,"[397.0, 0.0, 34.0, 17.0]",8583,CATEA_MTRNS,train
