crop_path,species_name,source_tile,orthomosaic_id,bbox_coco,annotation_id,remapped_label,split
GREGA/GREGA_012763.png,GREGA,OM_017/tiles/OM_017_09500_02000.png,OM_017,"[134.0, 160.0, 77.0, 85.0]",12763,GREGA_GREGF,train
GREGA/GREGA_012797.png,GREGA,OM_017/tiles/OM_017_08000_02500.png,OM_017,"[0, 116.0, 36.0, 35.0]",12797,GREGA_GREGF,train
GREGA/GREGA_013092.png,GREGA,OM_017/tiles/OM_017_03500_08500.png,OM_017,"[0, 157.0, 33.0, 58.0]",13092,GREGA_GREGF,train
GREGA/GREGA_012781.png,GREGA,OM_017/tiles/OM_017_02000_02500.png,OM_017,"[31.0, 92.0, 91.0, 40.0]",12781,GREGA_GREGF,train
GREGA/GREGA_012913.png,GREGA,OM_017/tiles/OM_017_08000_05500.png,OM_017,"[112.0, 116.0, 66.0, 27.0]",12913,GREGA_GREGF,train
GREGA/GREGA_013089.png,GREGA,OM_017/tiles/OM_017_03000_08500.png,OM_017,"[443.0, 157.0, 57.0, 58.0]",13089,GREGA_GREGF,train
GREGA/GREGA_012660.png,GREGA,OM_017/tiles/OM_017_09500_00000.png,OM_017,"[376.0, 38.0, 83.0, 86.0]",12660,GREGA_GREGF,train
GREGA/GREGA_012956.png,GREGA,OM_017/tiles/OM_017_02000_06500.png,OM_017,"[341.0, 315.0, 61.0, 35.0]",12956,GREGA_GREGF,train
GREGA/GREGA_012916.png,GREGA,OM_017/tiles/OM_017_09500_05500.png,OM_017,"[175.0, 108.0, 86.0, 58.0]",12916,GREGA_GREGF,train
GREGA/GREGA_012796.png,GREGA,OM_017/tiles/OM_017_07500_02500.png,OM_017,"[490.0, 116.0, 10.0, 35.0]",12796,GREGA_GREGF,train
GREGA/GREGA_012902.png,GREGA,OM_017/tiles/OM_017_03500_05500.png,OM_017,"[0, 0, 74.0, 20.0]",12902,GREGA_GREGF,train
GREGA/GREGA_013079.png,GREGA,OM_017/tiles/OM_017_09000_08000.png,OM_017,"[103.0, 59.0, 99.0, 47.0]",13079,GREGA_GREGF,train
